번호,파일명,Title,Authors,Journal,Year,DOI,URL
1,0000001.pdf,Adipose Tissue Inflammation: Linking Physiological Stressors to Disease Susceptibility,"Barry J. Bradford, G. Andres Contreras",Annual Review of Animal Biosciences,2024 Feb 15:12:261-281,10.1146/annurev-animal-021122-113212,
2,0000002.pdf,Recent Advances in Enteric Methane Mitigation and the Long Road to Sustainable Ruminant Production,"Simon Roques, Gonzalo Martinez-Fernandez, Yuliaxis Ramayo-Caldas, Milka Popova, Stuart Denman, Sarah J. Meale, et al.",Annual Review of Animal Biosciences,2024 Feb 15:12:321-343,10.1146/annurev-animal-021022-024931,
3,0000003.pdf,"Illuminating the Mysteries of the Smallest Birds: Hummingbird Population Health, Disease Ecology, and Genomics","Holly B. Ernest, Lisa A. Tell, Christine A. Bishop, Ana M. González, Emily R. Lumsdaine",Annual Review of Animal Biosciences,2024 Feb 15:12:161-185,10.1146/annurev-animal-021022-044308,
4,0000004.pdf,Biology and Cultural Importance of the Narwhal,Martin T. Nweeia,Annual Review of Animal Biosciences,2024 Feb 15:12:187-208,10.1146/annurev-animal-021122-112307,
5,0000005.pdf,Advocating for Generalizability: Accepting Inherent Variability in Translation of Animal Research Outcomes,"F.C.Hankenson, E.M.Prager, B.R.Berridge",Annual Review of Animal Biosciences,2024 Feb 15:12:391-410,10.1146/annurev-animal-021022-043531,
6,0000006.pdf,Advances in Managing Chytridiomycosis for Australian Frogs: Gradarius Firmus Victoria,"Lee Berger, Lee F. Skerratt, Tiffany A. Kosch, Laura A. Brannelly, Rebecca J. Webb, Anthony W. Waddle",Annual Review of Animal Biosciences,2024 Feb 15:12:113-133,10.1146/annurev-animal-021122-100823,
7,0000007.pdf,Future of Immune Modulation in Animal Agriculture,"Jodi L. McGill, Crystal L. Loving, Marcus E. Kehrli Jr., Anthony W. Waddle",Annual Review of Animal Biosciences,2024 Feb 15:12:113-133,10.1146/annurev-animal-021122-100823,
8,0000008.pdf,Pregnancy Establishment and Diagnosis in Livestock,"Troy L. Ott, Ahmed Tibary, Muhammad Waqas, Rodney Geisert, Julio Giordano, Anthony W. Waddle",Annual Review of Animal Biosciences,2025 Feb;13(1):211-232,10.1146/annurev-animal-021022-032214,
9,0000009.pdf,Improving Nutrition Security in Low- and Middle-Income Countries and the Role of Animal-Source Foods,"Fevi Rose Paro, Roselyn Davour, Daniel Acosta, Karah Mechlowitz, Chhavi Tiwari, Sarah L. McKune",Annual Review of Animal Biosciences,2025 Feb;13(1):211-232,10.1146/annurev-animal-021022-032214,
10,0000010.pdf,No More Extinctions: Recovering Australia's Biodiversity,"John C.Z. Woinarski, Stephen T. Garnett, Sarah M. Legge",Annual Review of Animal Biosciences,2025 Feb;13(1):507-528,10.1146/annurev-animal-111523-102004,
